State,YearQuarter,employment_growth,GDP,gdp_growth,EPU_value_Quarterly,composite_rates,growth_STLFSI4,diff_CLOSE,diff_CPIAUCSL,YQ,employment_growth_norm,EPU_value_Quarterly_norm,composite_rates_norm,growth_STLFSI4_norm,diff_CLOSE_norm,diff_CPIAUCSL_norm,gdp_growth_norm
alabama,2005Q2,0.0023549319723161,197495.8,0.0093155417456674,109.1919470104522,3.1833333333333336,-0.1640467682091113,0.6202945696721329,1.299999999999983,2005Q2,0.9352394810653504,0.33174850757753416,-0.9208901886935286,-0.31953591243517315,0.004440964730289457,-0.5166076613774534,0.3252295255476333
alabama,2005Q3,0.0016314703868879,196798.5,-0.0035307079948028,107.7503113766588,3.783333333333333,0.1880064349783474,-1.1565625000000015,2.933333333333337,2005Q3,0.41970313102652196,0.2954838566270729,-0.36421670857395816,0.2051925834653537,-0.5721571412086611,1.2326034176499698,-0.7191371379499275
alabama,2005Q4,0.000867246525061,199018.6,0.0112810819188153,63.52991563826307,4.296666666666667,-0.0946281257421937,0.5309647817460323,1.8333333333333144,2005Q4,-0.12488028331693288,-0.8168896022090647,0.11204837997278598,-0.21606876735788125,-0.024546952981978683,0.054563303202920355,0.4850228250764463
alabama,2006Q1,0.0015239250720429,199142.9,0.0006245647391751,58.26970297473781,4.633333333333333,0.3231746289401334,-0.7393266769073215,1.03333333333336,2006Q1,0.34306669283035673,-0.9492113704120265,0.42440405492876676,0.40665816443151287,-0.4367622411734491,-0.8021931436675944,-0.3813242813747098
alabama,2006Q2,0.0019400084134737,200031.3,0.0044611181217104,90.09487612190247,5.08,-0.0638839477396797,2.486310803891447,1.799999999999983,2006Q2,0.6395663155798261,-0.14864237186206358,0.8388165345733366,-0.17024516417831523,0.60997162032811,0.0188651179166489,-0.06942247840524522
alabama,2006Q3,0.0025787099779882,199875.0,-0.0007813777143876,110.41801476905204,5.193333333333334,-0.0346050519280541,-0.9207936507936498,1.9000000000000057,2006Q3,1.0947029530545103,0.362590502784216,0.9439659697070341,-0.12660553578759748,-0.4956490898790892,0.12595967377549372,-0.4956237430044436
alabama,2006Q4,0.0016530363768951,200646.3,0.0038589118198872,73.44055762290073,5.15,0.0456361831555907,-2.5730158730158728,-0.8333333333333144,2006Q4,0.4350709846862366,-0.5675852954598193,0.9037617739206201,-0.007007525562359369,-1.0318026275968775,-2.801291519698918,-0.1183802831247789
alabama,2007Q1,-0.000834148801125,199991.2,-0.0032649493162842,108.96855286932949,5.15,0.043360433604336,1.5286859224564149,1.9836666666666645,2007Q1,-1.3372890056347866,0.32612898044995053,0.9037617739206201,-0.010399486289500723,0.29921804185522966,0.21556211884403173,-0.6975316491896076
alabama,2007Q2,-0.0012756723501206,201622.9,0.0081588589897954,67.29536611736506,5.109999999999999,-0.0990123648806283,1.1682982045277122,2.313999999999993,2007Q2,-1.651917236753178,-0.7221688946357038,0.8666502085793145,-0.22260339106801982,0.182270607473412,0.5693311350309967,0.2311942284858319
alabama,2007Q3,-0.0001550605357638,203021.2,0.0069352241238471,91.67121796159492,4.65,-1.4854649657339156,7.857301587301585,1.3079999999999927,2007Q3,-0.8533729377604989,-0.10898915765520173,0.43986720715431116,-2.289084199355792,2.352882271718481,-0.5080400969087373,0.13171589915958484
