"State","Lag_Order","Equation","Variable","Coefficient","Std_Error","P_Value","CI_Lower","CI_Upper","Significant"
"alabama",2,"gdp_growth","gdp_growth_lag1",0.341437092040363,0.240148713983398,0.155091997484972,-0.129254387367098,0.812128571447823,FALSE
"alabama",2,"gdp_growth","employment_growth_lag1",-0.0554623187387891,0.196908931469484,0.778200532276836,-0.441403824418977,0.330479186941399,FALSE
"alabama",2,"gdp_growth","EPU_value_Quarterly_lag1",0.0560296071217047,0.192213368011798,0.770671289735776,-0.32070859418142,0.432767808424829,FALSE
"alabama",2,"gdp_growth","composite_rates_lag1",-0.0238822187630055,0.202640424178044,0.906182426017372,-0.421057450151972,0.373293012625961,FALSE
"alabama",2,"gdp_growth","growth_STLFSI4_lag1",-0.0651008748475219,0.179567890668489,0.716947157515266,-0.417053940557761,0.286852190862717,FALSE
"alabama",2,"gdp_growth","gdp_growth_lag2",0.300323129315397,0.190190726871023,0.11432161993531,-0.0724506953518088,0.673096953982603,FALSE
"alabama",2,"gdp_growth","employment_growth_lag2",0.0362575447705212,0.149520907940212,0.808399365571206,-0.256803434792294,0.329318524333337,FALSE
"alabama",2,"gdp_growth","EPU_value_Quarterly_lag2",0.025770566126659,0.153378971289254,0.866568409950077,-0.274852217600278,0.326393349853596,FALSE
"alabama",2,"gdp_growth","composite_rates_lag2",-0.0402762325200917,0.151953187136163,0.790965670554823,-0.338104479306971,0.257552014266788,FALSE
"alabama",2,"gdp_growth","growth_STLFSI4_lag2",0.0822497758294137,0.142133314868405,0.562804784942377,-0.19633152131266,0.360831072971487,FALSE
"alabama",2,"employment_growth","gdp_growth_lag1",0.0846534470317123,0.190400943152714,0.656604338733291,-0.288532401547607,0.457839295611032,FALSE
"alabama",2,"employment_growth","employment_growth_lag1",0.84339548426714,0.253915262303264,0.000895148422946966,0.345721570152743,1.34106939838154,TRUE
"alabama",2,"employment_growth","EPU_value_Quarterly_lag1",-0.0739905504243542,0.191315082862083,0.698943455298565,-0.448968112834036,0.300987011985328,FALSE
"alabama",2,"employment_growth","composite_rates_lag1",0.0158967857095108,0.202869565447354,0.9375419789799,-0.381727562567303,0.413521133986325,FALSE
"alabama",2,"employment_growth","growth_STLFSI4_lag1",-0.0456044518619488,0.17929572857518,0.799222662019086,-0.397024079869302,0.305815176145404,FALSE
"alabama",2,"employment_growth","gdp_growth_lag2",-0.00334106115095324,0.144286886765417,0.981526090399504,-0.28614335921117,0.279461236909263,FALSE
"alabama",2,"employment_growth","employment_growth_lag2",0.143374226952572,0.202323135999287,0.478548030355666,-0.253179119606029,0.539927573511174,FALSE
"alabama",2,"employment_growth","EPU_value_Quarterly_lag2",-0.0281790835039182,0.153282435992707,0.854140815538398,-0.328612658049625,0.272254491041788,FALSE
"alabama",2,"employment_growth","composite_rates_lag2",-0.0161633568690022,0.15198585831921,0.915306432704072,-0.314055639174653,0.281728925436649,FALSE
"alabama",2,"employment_growth","growth_STLFSI4_lag2",0.014609743922152,0.141725792112246,0.91789584226185,-0.26317280861785,0.292392296462154,FALSE
"alabama",2,"EPU_value_Quarterly","gdp_growth_lag1",0.174480784303248,0.191913996077091,0.363264971995984,-0.20167064800785,0.550632216614346,FALSE
"alabama",2,"EPU_value_Quarterly","employment_growth_lag1",0.00112550485035388,0.197584874973285,0.995455026166099,-0.386140850097286,0.388391859797993,FALSE
"alabama",2,"EPU_value_Quarterly","EPU_value_Quarterly_lag1",0.676477050571777,0.238947618492581,0.00463927995481687,0.208139718326319,1.14481438281724,TRUE
"alabama",2,"EPU_value_Quarterly","composite_rates_lag1",0.0807125945632482,0.204813657508843,0.693523315851025,-0.320722174154084,0.482147363280581,FALSE
"alabama",2,"EPU_value_Quarterly","growth_STLFSI4_lag1",0.0891760645222206,0.179700866325639,0.619719963332958,-0.263037633476032,0.441389762520474,FALSE
"alabama",2,"EPU_value_Quarterly","gdp_growth_lag2",0.0465449085482009,0.14434152901259,0.747101406996466,-0.236364488316475,0.329454305412876,FALSE
"alabama",2,"EPU_value_Quarterly","employment_growth_lag2",-0.0630107920416501,0.149413499193074,0.673228763637595,-0.355861250460074,0.229839666376774,FALSE
"alabama",2,"EPU_value_Quarterly","EPU_value_Quarterly_lag2",0.110733484191265,0.210752914139595,0.599292281948571,-0.302342227522341,0.52380919590487,FALSE
"alabama",2,"EPU_value_Quarterly","composite_rates_lag2",0.0525276552065774,0.151958847146524,0.729590532116187,-0.24531168520061,0.350366995613765,FALSE
"alabama",2,"EPU_value_Quarterly","growth_STLFSI4_lag2",-0.15400010243275,0.142211268501551,0.278854310931771,-0.432734188695791,0.12473398383029,FALSE
"alabama",2,"composite_rates","gdp_growth_lag1",-0.0394456445494525,0.190263962619143,0.835759463921073,-0.412363011282973,0.333471722184068,FALSE
"alabama",2,"composite_rates","employment_growth_lag1",0.0889571147647573,0.197230739997271,0.651967437214028,-0.297615135629894,0.475529365159408,FALSE
"alabama",2,"composite_rates","EPU_value_Quarterly_lag1",-0.0796071883144701,0.192789481094145,0.679663115165217,-0.457474571258994,0.298260194630054,FALSE
"alabama",2,"composite_rates","composite_rates_lag1",0.909416076260758,0.265063570890816,0.000601503091451497,0.38989147731476,1.42894067520676,TRUE
"alabama",2,"composite_rates","growth_STLFSI4_lag1",-0.0563032082318608,0.179535775329307,0.753821520979354,-0.408193327877302,0.295586911413581,FALSE
"alabama",2,"composite_rates","gdp_growth_lag2",-0.00466495378372187,0.144239619136001,0.974199558699801,-0.287374607290284,0.278044699722841,FALSE
"alabama",2,"composite_rates","employment_growth_lag2",0.059117075548416,0.14943074915346,0.692388922920037,-0.233767192792366,0.352001343889198,FALSE
"alabama",2,"composite_rates","EPU_value_Quarterly_lag2",0.00364470389390394,0.153462789657011,0.981052217194766,-0.297142363833837,0.304431771621645,FALSE
"alabama",2,"composite_rates","composite_rates_lag2",0.139188796781775,0.208144747647447,0.503679498447381,-0.268774908607222,0.547152502170772,FALSE
"alabama",2,"composite_rates","growth_STLFSI4_lag2",0.0564449701714678,0.142037919006097,0.691077181297117,-0.221949351080483,0.334839291423419,FALSE
"alabama",2,"growth_STLFSI4","gdp_growth_lag1",0.0946781069991335,0.190646509141601,0.619459867201334,-0.278989050918405,0.468345264916672,FALSE
"alabama",2,"growth_STLFSI4","employment_growth_lag1",0.0635139614000693,0.196855813777463,0.746966351449391,-0.322323433603758,0.449351356403897,FALSE
"alabama",2,"growth_STLFSI4","EPU_value_Quarterly_lag1",-0.00517116088834258,0.191579943542612,0.978465968852386,-0.380667850231861,0.370325528455176,FALSE
"alabama",2,"growth_STLFSI4","composite_rates_lag1",-0.00372148115655286,0.203172006178266,0.98538604611956,-0.401938613265953,0.394495650952848,FALSE
"alabama",2,"growth_STLFSI4","growth_STLFSI4_lag1",0.2237993206719,0.219915073171135,0.308838379600017,-0.207234222743524,0.654832864087325,FALSE
"alabama",2,"growth_STLFSI4","gdp_growth_lag2",0.105825952455186,0.144452564316151,0.463802414907803,-0.177301073604471,0.388952978514842,FALSE
"alabama",2,"growth_STLFSI4","employment_growth_lag2",-0.0325585887680705,0.149346413625279,0.827423526060859,-0.325277559473617,0.260160381937476,FALSE
"alabama",2,"growth_STLFSI4","EPU_value_Quarterly_lag2",-0.0595303783453411,0.15336246673904,0.697891826549178,-0.360120813153859,0.241060056463177,FALSE
"alabama",2,"growth_STLFSI4","composite_rates_lag2",0.0155494154441228,0.151996645600938,0.918517727110604,-0.282364009933716,0.313462840821962,FALSE
"alabama",2,"growth_STLFSI4","growth_STLFSI4_lag2",0.148834755170833,0.184753573771653,0.420482029315687,-0.213282249421606,0.510951759763273,FALSE
"alaska",2,"gdp_growth","gdp_growth_lag1",0.83220549299853,0.244760255062942,0.000673650884516635,0.352475393075164,1.3119355929219,TRUE
"alaska",2,"gdp_growth","employment_growth_lag1",-0.0426210740978098,0.186533485236836,0.819265170786611,-0.408226705162009,0.322984556966389,FALSE
"alaska",2,"gdp_growth","EPU_value_Quarterly_lag1",-0.101021462119766,0.185932851890175,0.58690792263511,-0.465449851824508,0.263406927584976,FALSE
"alaska",2,"gdp_growth","composite_rates_lag1",-0.0427683429507832,0.206204345651468,0.835691568500337,-0.446928860427661,0.361392174526094,FALSE
"alaska",2,"gdp_growth","growth_STLFSI4_lag1",0.0643037783174936,0.182140297492267,0.72405447020096,-0.292691204767351,0.421298761402338,FALSE
"alaska",2,"gdp_growth","gdp_growth_lag2",0.220171464175049,0.203225813886096,0.278638300443352,-0.1781511310417,0.618494059391798,FALSE
"alaska",2,"gdp_growth","employment_growth_lag2",0.0583857053062014,0.142067129545922,0.681092586446647,-0.220065868603806,0.336837279216209,FALSE
"alaska",2,"gdp_growth","EPU_value_Quarterly_lag2",0.0457226678907026,0.142156021352772,0.747727541443848,-0.23290313396073,0.324348469742135,FALSE
"alaska",2,"gdp_growth","composite_rates_lag2",-0.0581869639468758,0.152538923682468,0.702864543400676,-0.357163254364512,0.240789326470761,FALSE
"alaska",2,"gdp_growth","growth_STLFSI4_lag2",0.01483378908955,0.140933380646399,0.916174335786369,-0.261395636977391,0.291063215156491,FALSE
"alaska",2,"employment_growth","gdp_growth_lag1",-0.0145434408076665,0.193225250359771,0.940002458798568,-0.393264931512818,0.364178049897485,FALSE
"alaska",2,"employment_growth","employment_growth_lag1",0.668624817695904,0.231335499613361,0.00384896450907734,0.215207238453716,1.12204239693809,TRUE
"alaska",2,"employment_growth","EPU_value_Quarterly_lag1",-0.123284478101815,0.18588572793974,0.507185028636737,-0.487620504863705,0.241051548660074,FALSE
"alaska",2,"employment_growth","composite_rates_lag1",0.00530252503321325,0.2032775804439,0.979189426106666,-0.39312153263683,0.403726582703257,FALSE
"alaska",2,"employment_growth","growth_STLFSI4_lag1",-0.0259369543673544,0.18212833499801,0.886755911723989,-0.382908490963455,0.331034582228746,FALSE
