GeoFips,LineCode,Description,Time,GDP,State,YearQuarter,gdp_growth
1000,1,All industry total,2005:Q1,195673.0,alabama,2005 Q1,
1000,1,All industry total,2005:Q2,197495.8,alabama,2005 Q2,0.0093155417456674
1000,1,All industry total,2005:Q3,196798.5,alabama,2005 Q3,-0.0035307079948028175
1000,1,All industry total,2005:Q4,199018.6,alabama,2005 Q4,0.011281081918815383
1000,1,All industry total,2006:Q1,199142.9,alabama,2006 Q1,0.0006245647391751596
1000,1,All industry total,2006:Q2,200031.3,alabama,2006 Q2,0.004461118121710461
1000,1,All industry total,2006:Q3,199875.0,alabama,2006 Q3,-0.0007813777143876877
1000,1,All industry total,2006:Q4,200646.3,alabama,2006 Q4,0.0038589118198872896
1000,1,All industry total,2007:Q1,199991.2,alabama,2007 Q1,-0.0032649493162842935
1000,1,All industry total,2007:Q2,201622.9,alabama,2007 Q2,0.008158858989795403
1000,1,All industry total,2007:Q3,203021.2,alabama,2007 Q3,0.006935224123847172
1000,1,All industry total,2007:Q4,203466.6,alabama,2007 Q4,0.002193859557523936
1000,1,All industry total,2008:Q1,202569.5,alabama,2008 Q1,-0.004409077460379329
1000,1,All industry total,2008:Q2,203521.2,alabama,2008 Q2,0.004698140638151438
1000,1,All industry total,2008:Q3,201866.4,alabama,2008 Q3,-0.008130848285092696
1000,1,All industry total,2008:Q4,195912.7,alabama,2008 Q4,-0.029493268815414475
1000,1,All industry total,2009:Q1,193411.8,alabama,2009 Q1,-0.012765379681868638
1000,1,All industry total,2009:Q2,193677.0,alabama,2009 Q2,0.0013711676329986044
1000,1,All industry total,2009:Q3,194399.8,alabama,2009 Q3,0.0037319867614635793
1000,1,All industry total,2009:Q4,195279.6,alabama,2009 Q4,0.00452572482070468
1000,1,All industry total,2010:Q1,195899.5,alabama,2010 Q1,0.0031744227251591095
1000,1,All industry total,2010:Q2,198443.9,alabama,2010 Q2,0.012988292466290075
1000,1,All industry total,2010:Q3,202056.5,alabama,2010 Q3,0.018204641210941785
1000,1,All industry total,2010:Q4,201420.0,alabama,2010 Q4,-0.0031501090041646806
1000,1,All industry total,2011:Q1,199677.1,alabama,2011 Q1,-0.008653063250918414
1000,1,All industry total,2011:Q2,200443.7,alabama,2011 Q2,0.0038391983857939405
1000,1,All industry total,2011:Q3,201353.8,alabama,2011 Q3,0.004540427062561525
1000,1,All industry total,2011:Q4,204016.8,alabama,2011 Q4,0.013225476747893428
1000,1,All industry total,2012:Q1,204204.3,alabama,2012 Q1,0.0009190419612501444
1000,1,All industry total,2012:Q2,205005.6,alabama,2012 Q2,0.003924011394471183
1000,1,All industry total,2012:Q3,202857.9,alabama,2012 Q3,-0.010476299184022375
1000,1,All industry total,2012:Q4,202634.3,alabama,2012 Q4,-0.0011022494070973554
1000,1,All industry total,2013:Q1,207096.6,alabama,2013 Q1,0.02202144454319943
1000,1,All industry total,2013:Q2,206626.8,alabama,2013 Q2,-0.002268506580986873
1000,1,All industry total,2013:Q3,207985.4,alabama,2013 Q3,0.006575139333329538
1000,1,All industry total,2013:Q4,206142.8,alabama,2013 Q4,-0.008859275699159674
1000,1,All industry total,2014:Q1,203241.7,alabama,2014 Q1,-0.014073254074359998
1000,1,All industry total,2014:Q2,205967.1,alabama,2014 Q2,0.013409649692951664
1000,1,All industry total,2014:Q3,207514.9,alabama,2014 Q3,0.007514792411020821
1000,1,All industry total,2014:Q4,207556.3,alabama,2014 Q4,0.0001995037464779248
1000,1,All industry total,2015:Q1,206947.5,alabama,2015 Q1,-0.002933180057651752
1000,1,All industry total,2015:Q2,208955.9,alabama,2015 Q2,0.009704876840744614
1000,1,All industry total,2015:Q3,210102.0,alabama,2015 Q3,0.005484889395322101
1000,1,All industry total,2015:Q4,209795.8,alabama,2015 Q4,-0.0014573873642326207
1000,1,All industry total,2016:Q1,211142.4,alabama,2016 Q1,0.006418622298444587
1000,1,All industry total,2016:Q2,212800.7,alabama,2016 Q2,0.007853941226395156
1000,1,All industry total,2016:Q3,213240.6,alabama,2016 Q3,0.0020671924481450166
1000,1,All industry total,2016:Q4,214267.5,alabama,2016 Q4,0.00481568706897284
1000,1,All industry total,2017:Q1,215654.5,alabama,2017 Q1,0.0064732168901022735
1000,1,All industry total,2017:Q2,215908.3,alabama,2017 Q2,0.0011768824670943534
1000,1,All industry total,2017:Q3,216407.7,alabama,2017 Q3,0.0023130189992697225
1000,1,All industry total,2017:Q4,218491.4,alabama,2017 Q4,0.00962858530449684
1000,1,All industry total,2018:Q1,220062.1,alabama,2018 Q1,0.007188841299932136
1000,1,All industry total,2018:Q2,220171.5,alabama,2018 Q2,0.0004971324003542055
